id,dataset,task,embedder,model,hyperparams,library_hash,cv_metric_name,cv_metric,test_metric_name,test_metric,key
71,CYP2C19_Veith,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",6027026743082939730,roc_auc,0.8772428317597589,roc_auc,0.8764681125669875,CYP2C19_Veith_CLAMP_knn
72,CYP3A4_Substrate_CarbonMangels,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-3679425598711837739,roc_auc,0.6722132769191592,roc_auc,0.64376130198915,CYP3A4_Substrate_CarbonMangels_CLAMP_rf
73,CYP3A4_Substrate_CarbonMangels,classification,CLAMP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-3679425598711837739,roc_auc,0.6412258329905389,roc_auc,0.6376582278481013,CYP3A4_Substrate_CarbonMangels_CLAMP_ridge
74,CYP3A4_Substrate_CarbonMangels,classification,CLAMP,knn,"{""clf__n_neighbors"": 7}",-3679425598711837739,roc_auc,0.6930486670192553,roc_auc,0.6023960216998192,CYP3A4_Substrate_CarbonMangels_CLAMP_knn
75,CYP2C9_Veith,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",521174926318560733,roc_auc,0.9164550377799927,roc_auc,0.9131909933607933,CYP2C9_Veith_CLAMP_rf
76,CYP2C9_Veith,classification,CLAMP,ridge,"{""clf__C"": 0.04641588833612777, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",521174926318560733,roc_auc,0.9244989852781874,roc_auc,0.9155552755310185,CYP2C9_Veith_CLAMP_ridge
77,CYP2C9_Veith,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",521174926318560733,roc_auc,0.8787372842235704,roc_auc,0.8809235034219873,CYP2C9_Veith_CLAMP_knn
78,DILI,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-3679425598711837739,roc_auc,0.8014478147442137,roc_auc,0.888695652173913,DILI_CLAMP_rf
79,DILI,classification,CLAMP,ridge,"{""clf__C"": 0.0035938136638046254, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-3679425598711837739,roc_auc,0.7878745995089486,roc_auc,0.8847826086956522,DILI_CLAMP_ridge
80,DILI,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-3679425598711837739,roc_auc,0.7685967983751917,roc_auc,0.8652173913043478,DILI_CLAMP_knn
81,HIA_Hou,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",-5811850648175549245,roc_auc,0.9395121951219514,roc_auc,0.9728395061728394,HIA_Hou_CLAMP_rf
82,HIA_Hou,classification,CLAMP,ridge,"{""clf__C"": 0.04641588833612777, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-5811850648175549245,roc_auc,0.9328381374722838,roc_auc,0.9658436213991769,HIA_Hou_CLAMP_ridge
83,HIA_Hou,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-5811850648175549245,roc_auc,0.9466740576496674,roc_auc,0.9452674897119342,HIA_Hou_CLAMP_knn
84,PAMPA_NCATS,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 4, ""clf__n_estimators"": 500}",-3679425598711837739,roc_auc,0.6757018392506211,roc_auc,0.7482616533608034,PAMPA_NCATS_CLAMP_rf
85,PAMPA_NCATS,classification,CLAMP,ridge,"{""clf__C"": 0.012915496650148826, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-3679425598711837739,roc_auc,0.7093906102554779,roc_auc,0.7381921194952357,PAMPA_NCATS_CLAMP_ridge
86,PAMPA_NCATS,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-3679425598711837739,roc_auc,0.6098079478655343,roc_auc,0.7054081895441668,PAMPA_NCATS_CLAMP_knn
87,Pgp_Broccatelli,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",-5811850648175549245,roc_auc,0.9349278496219349,roc_auc,0.9329512130098642,Pgp_Broccatelli_CLAMP_rf
88,Pgp_Broccatelli,classification,CLAMP,ridge,"{""clf__C"": 0.012915496650148826, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-5811850648175549245,roc_auc,0.9209947628357635,roc_auc,0.925486536923487,Pgp_Broccatelli_CLAMP_ridge
89,CYP2D6_Veith,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 2, ""clf__n_estimators"": 500}",-6225924947160290061,roc_auc,0.8812962384430465,roc_auc,0.8858550941039367,CYP2D6_Veith_CLAMP_rf
90,Pgp_Broccatelli,classification,CLAMP,knn,"{""clf__n_neighbors"": 7}",-5811850648175549245,roc_auc,0.9092803896297642,roc_auc,0.916722207411357,Pgp_Broccatelli_CLAMP_knn
91,CYP2D6_Veith,classification,CLAMP,ridge,"{""clf__C"": 0.012915496650148826, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-6225924947160290061,roc_auc,0.8909615491087279,roc_auc,0.8934522769316356,CYP2D6_Veith_CLAMP_ridge
92,CYP3A4_Veith,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 6, ""clf__n_estimators"": 500}",6027026743082939730,roc_auc,0.9041979235148702,roc_auc,0.8934791167579759,CYP3A4_Veith_CLAMP_rf
93,SARSCoV2_3CLPro_Diamond,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-5488080129528514155,roc_auc,0.727892882311487,roc_auc,0.6617511520737327,SARSCoV2_3CLPro_Diamond_CLAMP_rf
94,CYP2D6_Veith,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-6225924947160290061,roc_auc,0.8263532637464044,roc_auc,0.8463491229684749,CYP2D6_Veith_CLAMP_knn
95,SARSCoV2_3CLPro_Diamond,classification,CLAMP,ridge,"{""clf__C"": 0.0035938136638046254, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-5488080129528514155,roc_auc,0.7302779133011691,roc_auc,0.5923195084485406,SARSCoV2_3CLPro_Diamond_CLAMP_ridge
96,SARSCoV2_3CLPro_Diamond,classification,CLAMP,knn,"{""clf__n_neighbors"": 7}",-5488080129528514155,roc_auc,0.7031805532968324,roc_auc,0.7379416282642088,SARSCoV2_3CLPro_Diamond_CLAMP_knn
97,CYP3A4_Veith,classification,CLAMP,ridge,"{""clf__C"": 0.012915496650148826, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",6027026743082939730,roc_auc,0.9153312665550704,roc_auc,0.9036434734446839,CYP3A4_Veith_CLAMP_ridge
98,CYP3A4_Veith,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",6027026743082939730,roc_auc,0.8648524135968803,roc_auc,0.8680972527142543,CYP3A4_Veith_CLAMP_knn
99,SARSCoV2_Vitro_Touret,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 8, ""clf__n_estimators"": 500}",1653261981241308473,roc_auc,0.6026777706598334,roc_auc,0.6324052752773708,SARSCoV2_Vitro_Touret_CLAMP_rf
100,SARSCoV2_Vitro_Touret,classification,CLAMP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",1653261981241308473,roc_auc,0.6351099722400171,roc_auc,0.6185890726397321,SARSCoV2_Vitro_Touret_CLAMP_ridge
101,SARSCoV2_Vitro_Touret,classification,CLAMP,knn,"{""clf__n_neighbors"": 7}",1653261981241308473,roc_auc,0.589568652573137,roc_auc,0.5530667783127486,SARSCoV2_Vitro_Touret_CLAMP_knn
102,hERG,classification,CLAMP,rf,"{""clf__criterion"": ""entropy"", ""clf__min_samples_split"": 10, ""clf__n_estimators"": 500}",-2850538290359442260,roc_auc,0.8341408450704225,roc_auc,0.9003941782898727,hERG_CLAMP_rf
103,hERG,classification,CLAMP,ridge,"{""clf__C"": 0.001, ""clf__max_iter"": 5000, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",-2850538290359442260,roc_auc,0.8253695506371562,roc_auc,0.89038811400849,hERG_CLAMP_ridge
104,hERG,classification,CLAMP,knn,"{""clf__n_neighbors"": 9}",-2850538290359442260,roc_auc,0.8089470154258886,roc_auc,0.8811400848999393,hERG_CLAMP_knn
